# master lattice 33^3: u=linspace(-2.0,1.0,33)  w=linspace(0.0,0.4,33)  z=linspace(-2.0,-12.0,33)
# y is the degenerate inclination axis, y == 1.0 everywhere (apex_of_uwyz ignores it and sets x = 1)
# sub-grid shape 15 x 9 x 1 x 9 in (u,w,y,z); rows are in ij order over (iu,iw,iz)
# spin p0 e0 inclination pos Edot_tot Ldot_tot Qdot_tot Edot_hor Edot_inf Ldot_hor Ldot_inf Qdot_hor Qdot_inf elapsed  iu iw iz  u w y z
9.9999990000000005e-01 1.1751363599628784e+00 1.5000000000000002e-01 1.0000000000000000e+00 9.8500000000000000e+02 3.5666906123855306e-02 7.7157107094299585e-02 4.4770345210138479e-17 -4.8991380160283062e-03 4.0566044139879166e-02 -1.0615114009501348e-02 8.7772221103789197e-02 -6.1646336901690145e-18 5.0934978900301773e-17 1.3667780880759470e+04 4 12 16 -1.6250000000000000e+00 1.5000000000000002e-01 1.0000000000000000e+00 -7.0000000000000000e+00
9.9999999437658671e-01 1.1740513465154911e+00 1.5000000000000002e-01 1.0000000000000000e+00 9.9500000000000000e+02 3.4683530329418670e-02 7.4944249226826312e-02 -1.2418805426622060e-16 -4.7667971902399641e-03 3.9450327519653737e-02 -1.0316711613218331e-02 8.5260960840033928e-02 1.7093832678842114e-17 -1.4128188694504094e-16 1.5556433204098605e+04 4 12 20 -1.6250000000000000e+00 1.5000000000000002e-01 1.0000000000000000e+00 -8.2500000000000000e+00
9.9999999968377229e-01 1.1737938111466142e+00 1.5000000000000002e-01 1.0000000000000000e+00 1.0050000000000000e+03 3.4444630876212030e-02 7.4407319266424493e-02 -1.3982219493505076e-16 -4.7345632414820564e-03 3.9179194117689671e-02 -1.0244133472925488e-02 8.4651452739337094e-02 1.9248520782808219e-17 -1.5907071571783639e-16 1.5584240597413853e+04 4 12 24 -1.6250000000000000e+00 1.5000000000000002e-01 1.0000000000000000e+00 -9.5000000000000000e+00
9.9999999998221722e-01 1.1737327263415920e+00 1.5000000000000002e-01 1.0000000000000000e+00 9.7900000000000000e+02 3.4387632031781322e-02 7.4279250562241536e-02 5.8337639212076652e-17 -4.7268722285525042e-03 3.9114504260328642e-02 -1.0226822082687421e-02 8.4506072644917024e-02 -8.0336661994351782e-18 6.6371305411501359e-17 1.6492259692328982e+04 4 12 28 -1.6250000000000000e+00 1.5000000000000002e-01 1.0000000000000000e+00 -1.0750000000000000e+01
9.9999999999900002e-01 1.1737182404095907e+00 1.5000000000000002e-01 1.0000000000000000e+00 9.8900000000000000e+02 3.4374102408606347e-02 7.4248855778666759e-02 -4.0605699683990123e-17 -4.7250477046645936e-03 3.9099150113266271e-02 -1.0222713497626681e-02 8.4471569276282521e-02 5.5889681105190349e-18 -4.6194667794503903e-17 1.5915118413741700e+04 4 12 32 -1.6250000000000000e+00 1.5000000000000002e-01 1.0000000000000000e+00 -1.2000000000000000e+01
9.8999999999999999e-01 1.6187039675174233e+00 2.0000000000000001e-01 1.0000000000000000e+00 1.0530000000000000e+03 8.6167050279169807e-02 2.4130256248601731e-01 -4.7840053563567087e-16 -7.6477145401061437e-03 9.3814764819275212e-02 -2.1352015428183543e-02 2.6265457791419733e-01 4.2316597040130570e-17 -5.2071713267579285e-16 5.8864299627579749e+02 4 16 0 -1.6250000000000000e+00 2.0000000000000001e-01 1.0000000000000000e+00 -2.0000000000000000e+00
9.9943765867480960e-01 1.3198099438213424e+00 2.0000000000000001e-01 1.0000000000000000e+00 1.0540000000000000e+03 7.6167854910572735e-02 1.7802508642786918e-01 2.5408972114732552e-16 -9.1517513042242548e-03 8.5319606214796742e-02 -2.1403071538675954e-02 1.9942815796654118e-01 -3.0546716386642774e-17 2.8463643753396611e-16 1.9540482839168981e+03 4 16 4 -1.6250000000000000e+00 2.0000000000000001e-01 1.0000000000000000e+00 -3.2500000000000000e+00
9.9996837722339826e-01 1.2469145587839414e+00 2.0000000000000001e-01 1.0000000000000000e+00 1.0550000000000000e+03 5.0827501227674460e-02 1.1303811048129227e-01 -2.0079602066632466e-16 -6.5483192217368888e-03 5.7375820449411037e-02 -1.4585611448466308e-02 1.2762372192975308e-01 2.5909250653317719e-17 -2.2670527131963261e-16 5.7168551812572405e+03 4 16 8 -1.6250000000000000e+00 2.0000000000000001e-01 1.0000000000000000e+00 -4.5000000000000000e+00
9.9999822172058994e-01 1.2292466153494126e+00 2.0000000000000001e-01 1.0000000000000000e+00 1.0650000000000000e+03 3.9265335608611771e-02 8.6067450814096683e-02 1.1466487867752381e-16 -5.1291092154356075e-03 4.4394444824042784e-02 -1.1262518070593617e-02 9.7329968884681053e-02 -1.5004688252675101e-17 1.2966956693018605e-16 1.2748589868540876e+04 4 16 12 -1.6250000000000000e+00 2.0000000000000001e-01 1.0000000000000000e+00 -5.7500000000000000e+00
9.9999990000000005e-01 1.2250276739431687e+00 2.0000000000000001e-01 1.0000000000000000e+00 1.0750000000000000e+03 3.5714022983861338e-02 7.7951331266384927e-02 6.7786229910743619e-17 -4.6767031726597415e-03 4.0390726156515802e-02 -1.0226270519436401e-02 8.8177601785808482e-02 -8.8889380086840294e-18 7.6675167919416318e-17 1.6820401088572107e+04 4 16 16 -1.6250000000000000e+00 2.0000000000000001e-01 1.0000000000000000e+00 -7.0000000000000000e+00
9.9999999437658671e-01 1.2240254285296919e+00 2.0000000000000001e-01 1.0000000000000000e+00 1.0850000000000000e+03 3.4797563227390423e-02 7.5866564537295789e-02 1.0107456809821457e-16 -4.5588188886289049e-03 3.9356382116013500e-02 -9.9575530624484206e-03 8.5824117599731992e-02 -1.3266125614629329e-17 1.1434069371282939e-16 2.0161507229644805e+04 4 16 20 -1.6250000000000000e+00 2.0000000000000001e-01 1.0000000000000000e+00 -8.2500000000000000e+00
9.9999999968377229e-01 1.2237876568573285e+00 2.0000000000000001e-01 1.0000000000000000e+00 1.0590000000000000e+03 3.4575131070520730e-02 7.5361074717325074e-02 -5.0200560186999248e-17 -4.5302590519936160e-03 3.9105390122508563e-02 -9.8925629545932332e-03 8.5253637671904275e-02 6.5897706988462547e-18 -5.6790330885838149e-17 1.9262613438427448e+04 4 16 24 -1.6250000000000000e+00 2.0000000000000001e-01 1.0000000000000000e+00 -9.5000000000000000e+00
9.9999999998221722e-01 1.2237312666766640e+00 2.0000000000000001e-01 1.0000000000000000e+00 1.0690000000000000e+03 3.4522118615332366e-02 7.5240623887976588e-02 9.8864773405821290e-17 -4.5234261153353659e-03 3.9045544730660783e-02 -9.8770249531444174e-03 8.5117648841107160e-02 -1.2974505247153314e-17 1.1183927865296120e-16 1.9513633042416535e+04 4 16 28 -1.6250000000000000e+00 2.0000000000000001e-01 1.0000000000000000e+00 -1.0750000000000000e+01
9.9999999999900002e-01 1.2237178940800983e+00 2.0000000000000001e-01 1.0000000000000000e+00 1.0790000000000000e+03 3.4509547233397789e-02 7.5212081032673447e-02 -9.8827501655607874e-17 -4.5217768948852986e-03 3.9031324128276541e-02 -9.8732544573082691e-03 8.5085335489968675e-02 1.2969586754855084e-17 -1.1179708841044926e-16 2.2004128177230246e+04 4 16 32 -1.6250000000000000e+00 2.0000000000000001e-01 1.0000000000000000e+00 -1.2000000000000000e+01
9.8999999999999999e-01 1.6627823949698188e+00 2.5000000000000000e-01 1.0000000000000000e+00 1.1340000000000000e+03 8.6287297959061676e-02 2.4020338705574323e-01 4.4584655842894087e-16 -7.4646792250438821e-03 9.3751977184104426e-02 -2.0687270911344913e-02 2.6089065796708405e-01 -3.8405466921309908e-17 4.8425202535024543e-16 6.5982127877976745e+02 4 20 0 -1.6250000000000000e+00 2.5000000000000000e-01 1.0000000000000000e+00 -2.0000000000000000e+00
9.9943765867480960e-01 1.3664337823830426e+00 2.5000000000000000e-01 1.0000000000000000e+00 1.1350000000000000e+03 7.5099561774371076e-02 1.7590615782987951e-01 -2.2293786337379452e-16 -8.6681731283241199e-03 8.3767734902694249e-02 -2.0303747634489066e-02 1.9620990546436448e-01 2.5732234798793562e-17 -2.4867009817258482e-16 2.1824741128915921e+03 4 20 4 -1.6250000000000000e+00 2.5000000000000000e-01 1.0000000000000000e+00 -3.2500000000000000e+00
9.9996837722339826e-01 1.2958691826424928e+00 2.5000000000000000e-01 1.0000000000000000e+00 1.1450000000000000e+03 5.0172438767957184e-02 1.1213985967549975e-01 9.3697708306187032e-17 -6.1748726093281666e-03 5.6347311377283715e-02 -1.3818144493375307e-02 1.2595800416886849e-01 -1.1553980863967937e-17 1.0525168917015282e-16 6.1643124574711546e+03 4 20 8 -1.6250000000000000e+00 2.5000000000000000e-01 1.0000000000000000e+00 -4.5000000000000000e+00
9.9999822172058994e-01 1.2789805809700538e+00 2.5000000000000000e-01 1.0000000000000000e+00 1.1550000000000000e+03 3.9032529786528741e-02 8.6035022349812154e-02 -1.8749675100173833e-16 -4.8643149274711067e-03 4.3896844713995846e-02 -1.0737922553196890e-02 9.6772944902997357e-02 2.3394761713527567e-17 -2.1089151271524443e-16 1.5800178936461918e+04 4 20 12 -1.6250000000000000e+00 2.5000000000000000e-01 1.0000000000000000e+00 -5.7500000000000000e+00
9.9999990000000005e-01 1.2749634881792580e+00 2.5000000000000000e-01 1.0000000000000000e+00 1.1650000000000000e+03 3.5637076100203842e-02 7.8225415699011910e-02 -7.2565107210486502e-17 -4.4510016101752224e-03 4.0088077710372434e-02 -9.7857545305136545e-03 8.8011170229511757e-02 9.0839604155196011e-18 -8.1649067625995003e-17 2.1532894978888333e+04 4 20 16 -1.6250000000000000e+00 2.5000000000000000e-01 1.0000000000000000e+00 -7.0000000000000000e+00
9.9999999437658671e-01 1.2740101447288064e+00 2.5000000000000000e-01 1.0000000000000000e+00 1.1390000000000000e+03 3.4763279271097826e-02 7.6223934108449687e-02 -1.1075679473294027e-16 -4.3438466868605200e-03 3.9107125957951641e-02 -9.5401050373428616e-03 8.5764039145776585e-02 1.3863774256282819e-17 -1.2462056898920335e-16 2.4784865633443929e+04 4 20 20 -1.6250000000000000e+00 2.5000000000000000e-01 1.0000000000000000e+00 -8.2500000000000000e+00
9.9999999968377229e-01 1.2737840289273601e+00 2.5000000000000000e-01 1.0000000000000000e+00 1.1490000000000000e+03 3.4551543226444451e-02 7.5739437677777230e-02 -6.1071716286231517e-17 -4.3177549532474576e-03 3.8869298179685548e-02 -9.4803094673305919e-03 8.5219747145091548e-02 7.6490552729315389e-18 -6.8720771559151477e-17 2.6733812052260153e+04 4 20 24 -1.6250000000000000e+00 2.5000000000000000e-01 1.0000000000000000e+00 -9.5000000000000000e+00
9.9999999998221722e-01 1.2737304060249957e+00 2.5000000000000000e-01 1.0000000000000000e+00 1.1590000000000000e+03 3.4501057762706525e-02 7.5623897807159043e-02 -1.3286469706120507e-16 -4.3115288194194110e-03 3.8812586582118981e-02 -9.4660828061890918e-03 8.5089980613332200e-02 1.6627951744876796e-17 -1.4949264880605451e-16 2.5285345950254239e+04 4 20 28 -1.6250000000000000e+00 2.5000000000000000e-01 1.0000000000000000e+00 -1.0750000000000000e+01
9.9999999999900002e-01 1.2737176896829616e+00 2.5000000000000000e-01 1.0000000000000000e+00 1.1420000000000000e+03 3.4489113103033008e-02 7.5596585439388547e-02 -1.6020001798252266e-16 -4.3100101803754017e-03 3.8799123283400579e-02 -9.4625908403016112e-03 8.5059176279673368e-02 2.0054157939295940e-17 -1.8025417592179147e-16 2.7365999825326726e+04 4 20 32 -1.6250000000000000e+00 2.5000000000000000e-01 1.0000000000000000e+00 -1.2000000000000000e+01
