# master lattice 33^3: u=linspace(-2.0,1.0,33)  w=linspace(0.0,0.4,33)  z=linspace(-2.0,-12.0,33)
# y is the degenerate inclination axis, y == 1.0 everywhere (apex_of_uwyz ignores it and sets x = 1)
# sub-grid shape 17 x 17 x 1 x 9 in (u,w,y,z); rows are in ij order over (iu,iw,iz)
# spin p0 e0 inclination pos Edot_tot Ldot_tot Qdot_tot Edot_hor Edot_inf Ldot_hor Ldot_inf Qdot_hor Qdot_inf elapsed  iu iw iz  u w y z
9.9999990000000005e-01 1.0868128086017215e+00 7.5000000000000011e-02 1.0000000000000000e+00 1.3000000000000000e+01 2.0410726737024973e-02 4.2609366133099791e-02 3.3312627721964129e-17 -3.0347151663862194e-03 2.3445441903407919e-02 -6.3446735437920560e-03 4.8954039676884532e-02 -4.9613599914580985e-18 3.8273987713417567e-17 3.2484819902532734e+04 0 6 16 -2.0000000000000000e+00 7.5000000000000011e-02 1.0000000000000000e+00 -7.0000000000000000e+00
9.9999999437658671e-01 1.0854312005299576e+00 7.5000000000000011e-02 1.0000000000000000e+00 1.4000000000000000e+01 1.8684496297745330e-02 3.8935756865336964e-02 3.9426473707756505e-17 -2.7884064319278947e-03 2.1472902729669098e-02 -5.8277286637485118e-03 4.4763485529078648e-02 -5.9066424388705212e-18 4.5333116146619699e-17 3.9923438758932985e+04 0 6 20 -2.0000000000000000e+00 7.5000000000000011e-02 1.0000000000000000e+00 -8.2500000000000000e+00
9.9999999968377229e-01 1.0851023287406110e+00 7.5000000000000011e-02 1.0000000000000000e+00 1.5000000000000000e+01 1.8250030125350702e-02 3.8014805939477488e-02 -3.4100271372558659e-17 -2.7258259457341029e-03 2.0975856071081007e-02 -5.6940902770751724e-03 4.3708896216545619e-02 5.1112002394733597e-18 -3.9211471612025464e-17 4.2547294929204509e+04 0 6 24 -2.0000000000000000e+00 7.5000000000000011e-02 1.0000000000000000e+00 -9.5000000000000000e+00
9.9999999998221722e-01 1.0850242703468258e+00 7.5000000000000011e-02 1.0000000000000000e+00 1.6000000000000000e+01 1.8144351378188921e-02 3.7787713835751628e-02 4.6314492604684005e-17 -2.7121148260293272e-03 2.0856466204214538e-02 -5.6679710094249790e-03 4.3455684845168679e-02 -6.9490438360291848e-18 5.3263536440706470e-17 4.5566495062639005e+04 0 6 28 -2.0000000000000000e+00 7.5000000000000011e-02 1.0000000000000000e+00 -1.0750000000000000e+01
9.9999999999900002e-01 1.0850057551041656e+00 7.5000000000000011e-02 1.0000000000000000e+00 1.7000000000000000e+01 1.8120521403217738e-02 3.7739262616163873e-02 -4.5589890679109294e-17 -2.7075490661346495e-03 2.0828070469349067e-02 -5.6562071075858759e-03 4.3395469723742190e-02 6.8273110784273994e-18 -5.2417201757530835e-17 4.6415032268717885e+04 0 6 32 -2.0000000000000000e+00 7.5000000000000011e-02 1.0000000000000000e+00 -1.2000000000000000e+01
9.8999999999999999e-01 1.5256315629797779e+00 1.0000000000000001e-01 1.0000000000000000e+00 1.8900000000000000e+02 8.9350386893440895e-02 2.4777445555922098e-01 3.1476444819111280e-16 -8.3126314605127052e-03 9.7663018353954009e-02 -2.3037036630878423e-02 2.7081149219009615e-01 -2.9267798423808217e-17 3.4403224661492191e-16 5.3084955042600632e+02 0 8 0 -2.0000000000000000e+00 1.0000000000000001e-01 1.0000000000000000e+00 -2.0000000000000000e+00
9.9943765867480960e-01 1.2195427357261930e+00 1.0000000000000001e-01 1.0000000000000000e+00 1.9000000000000000e+02 7.5528478113532166e-02 1.7192399761266997e-01 -2.1691149963933702e-16 -9.7838235808812117e-03 8.5312301694413506e-02 -2.2285005988867984e-02 1.9420900360153631e-01 2.8120521728831346e-17 -2.4503202136816366e-16 2.2947514824876562e+03 0 8 4 -2.0000000000000000e+00 1.0000000000000001e-01 1.0000000000000000e+00 -3.2500000000000000e+00
9.9996837722339826e-01 1.1379742653830258e+00 1.0000000000000001e-01 1.0000000000000000e+00 1.9100000000000000e+02 4.2872626120141553e-02 9.2147022114603197e-02 -5.9960768898799506e-17 -6.0609481641789760e-03 4.8933574284318264e-02 -1.3039367797606522e-02 1.0518638991220507e-01 8.4822442233556080e-18 -6.8443013122152899e-17 6.4389179644752294e+03 0 8 8 -2.0000000000000000e+00 1.0000000000000001e-01 1.0000000000000000e+00 -4.5000000000000000e+00
9.9999822172058994e-01 1.1168145012404531e+00 1.0000000000000001e-01 1.0000000000000000e+00 1.6500000000000000e+02 2.6348684325346389e-02 5.5702092915580481e-02 5.8505832013159057e-18 -3.8056196811167829e-03 3.0154304006460367e-02 -8.0542232598763350e-03 6.3756316175449745e-02 -8.4501731858849968e-19 6.6956005199037809e-18 1.9108532487044111e+04 0 8 12 -2.0000000000000000e+00 1.0000000000000001e-01 1.0000000000000000e+00 -5.7500000000000000e+00
9.9999990000000005e-01 1.1116277512307244e+00 1.0000000000000001e-01 1.0000000000000000e+00 1.7500000000000000e+02 2.0616393983074473e-02 4.3342239512406171e-02 -8.6615194041884235e-17 -3.0008583574221669e-03 2.3617252340492560e-02 -6.3285489250075114e-03 4.9670788437405355e-02 1.2646981312218379e-17 -9.9262175354089881e-17 3.6830234911600128e+04 0 8 16 -2.0000000000000000e+00 1.0000000000000001e-01 1.0000000000000000e+00 -7.0000000000000000e+00
9.9999999437658671e-01 1.1103866887236697e+00 1.0000000000000001e-01 1.0000000000000000e+00 1.9400000000000000e+02 1.8976683010270813e-02 3.9797656475794439e-02 2.1887379900022182e-17 -2.7830267515185124e-03 2.1759709761787319e-02 -5.8895127327071072e-03 4.5687169208497851e-02 -3.2334251314065181e-18 2.5120805031427185e-17 2.0833470332561061e+04 0 8 20 -2.0000000000000000e+00 1.0000000000000001e-01 1.0000000000000000e+00 -8.2500000000000000e+00
9.9999999968377229e-01 1.1100917373919181e+00 1.0000000000000001e-01 1.0000000000000000e+00 2.3100000000000000e+02 1.8571519855932323e-02 3.8915892320169961e-02 -2.5529539449609175e-17 -2.7339377576881953e-03 2.1305457613617840e-02 -5.7989265072469209e-03 4.4714818827413169e-02 3.7893529491727943e-18 -2.9318892398779603e-17 2.4357164559016936e+04 0 8 24 -2.0000000000000000e+00 1.0000000000000001e-01 1.0000000000000000e+00 -9.5000000000000000e+00
9.9999999998221722e-01 1.1100217565770942e+00 1.0000000000000001e-01 1.0000000000000000e+00 1.7800000000000000e+02 1.8463884168394715e-02 3.8687907853197201e-02 3.3580105891489504e-17 -2.7158082047519789e-03 2.1179692373144987e-02 -5.7551984432978442e-03 4.4443106296491251e-02 -4.9679437687196625e-18 3.8548049660205812e-17 2.4011313755157404e+04 0 8 28 -2.0000000000000000e+00 1.0000000000000001e-01 1.0000000000000000e+00 -1.0750000000000000e+01
9.9999999999900002e-01 1.1100051597285896e+00 1.0000000000000001e-01 1.0000000000000000e+00 2.3300000000000000e+02 1.8453841735278715e-02 3.8657835751408562e-02 -5.5988771069288753e-17 -2.7152569778750970e-03 2.1169098713151549e-02 -5.7653397427689145e-03 4.4423175494172344e-02 8.3582299351697883e-18 -6.4347001004452065e-17 2.6207881435998715e+04 0 8 32 -2.0000000000000000e+00 1.0000000000000001e-01 1.0000000000000000e+00 -1.2000000000000000e+01
